dose,category,location,year,coverage,low,high,size
1doseMMRVaccinationAge,19-35 Months,Region  6,1999,87.000000,84.300000,89.300000,2895.000000
1doseMMRVaccinationAge,24 Months,MD-Rest of State,1995,89.500000,83.300000,93.500000,221.000000
1doseMMRVaccinationAge,19 Months,Region  2,2016,88.900000,86.000000,91.300000,814.000000
1doseMMRVaccinationFacilityType,Mixed,Maine,2016,87.500000,71.900000,95.000000,47.000000
1doseMMRVaccinationAge,13 Months,Minnesota,2012,58.900000,51.100000,66.400000,290.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,NJ-Rest of State,1997,93.500000,87.700000,96.700000,201.000000
1doseMMRVaccinationFacilityType,Other,WA-King County,2006,81.100000,64.800000,90.900000,64.000000
1doseMMRVaccinationAge,13 Months,NY-City of New York,2015,66.900000,60.100000,73.000000,291.000000
1doseMMRVaccinationVFCProgramProvider,Participating,IN-Marion County,2002,90.300000,82.700000,94.700000,227.000000
1doseMMRVaccinationAge,24 Months,South Dakota,2012,90.400000,85.800000,93.500000,275.000000
1doseMMRVaccinationAge,19 Months,Washington,2005,86.000000,81.200000,89.800000,397.000000
1doseMMRVaccinationPoverty,Unknown poverty,Region  3,2005,95.100000,86.200000,98.400000,101.000000
1doseMMRVaccinationWIC,Not Participating ,Maryland,2013,96.100000,87.600000,98.800000,204.000000
1doseMMRVaccinationAge,24 Months,Maine,2007,89.100000,83.000000,93.100000,219.000000
1doseMMRVaccinationAge,19 Months,TN-Shelby County,2000,86.700000,81.400000,90.600000,267.000000
1doseMMRVaccinationAge,24 Months,Georgia,2016,92.400000,88.400000,95.100000,274.000000
1doseMMRVaccinationFacilityType,Private,Arkansas,2010,85.300000,73.800000,92.300000,122.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,FL-Miami-Dade County,2006,94.100000,89.400000,96.800000,212.000000
1doseMMRVaccinationAge,19 Months,OH-Cuyahoga County,1996,83.200000,77.300000,87.800000,263.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Washington,2017,92.000000,85.200000,95.800000,148.000000
1doseMMRVaccinationWIC,Not Participating ,California,2009,87.500000,79.600000,92.600000,189.000000
1doseMMRVaccinationFacilityType,Private,Region  6,2004,91.000000,88.100000,93.300000,1648.000000
1doseMMRVaccinationRaceEthnicity,Asian only  non-Hispanic,Region  2,2009,91.900000,80.000000,97.000000,48.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,North Dakota,1998,70.700000,54.400000,83.000000,41.000000
1doseMMRVaccinationUrbanicity,Living In A Non MSA,Michigan,2010,91.100000,75.400000,97.200000,46.000000
1doseMMRVaccinationAge,24 Months,MD-City of Baltimore,2002,94.600000,89.200000,97.400000,247.000000
1doseMMRVaccinationFacilityType,Private,NV-Rest of State,1999,90.900000,84.000000,95.000000,126.000000
1doseMMRVaccinationPoverty,Living Below Poverty,NY-City of New York,2005,92.500000,71.500000,98.400000,47.000000
1doseMMRVaccinationAge,19 Months,Vermont,2015,92.200000,87.800000,95.100000,262.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,Region  2,1996,91.400000,83.600000,95.700000,235.000000
1doseMMRVaccinationWIC,Not Participating ,Arizona,2009,86.900000,79.100000,92.200000,177.000000
1doseMMRVaccinationRaceEthnicity,Black only  non-Hispanic,GA-Fulton/DeKalb Counties,1996,93.400000,85.400000,97.200000,107.000000
1doseMMRVaccinationFacilityType,Private,Kansas,2016,88.100000,78.200000,93.900000,93.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,NM-Rest of State,2008,91.600000,84.600000,95.500000,147.000000
1doseMMRVaccinationFacilityType,Mixed,South Carolina,2015,100.000000,nan,nan,36.000000
1doseMMRVaccinationVFCProgramProvider,Not Participating ,MO-Rest of State,2002,93.100000,73.300000,98.500000,30.000000
1doseMMRVaccinationUrbanicity,Living In A Non MSA,Region  7,2000,88.200000,84.200000,91.300000,495.000000
1doseMMRVaccinationAge,19-35 Months,Indiana,2001,91.300000,87.800000,93.800000,562.000000
1doseMMRVaccinationAge,24 Months,Missouri,2003,92.000000,87.700000,94.900000,290.000000
1doseMMRVaccinationFacilityType,Private,New Hampshire,2003,94.200000,89.100000,97.000000,203.000000
1doseMMRVaccinationUrbanicity,Living In A Non MSA,Alaska,2003,89.800000,83.000000,94.100000,155.000000
1doseMMRVaccinationVFCProgramProvider,Participating,Idaho,2002,87.300000,81.400000,91.500000,267.000000
1doseMMRVaccinationAge,19 Months,Utah,1999,86.500000,81.300000,90.400000,302.000000
1doseMMRVaccinationAge,13 Months,Texas,2008,63.600000,57.800000,69.100000,1377.000000
1doseMMRVaccinationFacilityType,Private,Region  3,1995,91.000000,88.000000,93.400000,1035.000000
1doseMMRVaccinationAge,24 Months,Connecticut,1995,92.000000,86.900000,95.200000,216.000000
1doseMMRVaccinationAge,19-35 Months,New Hampshire,2003,94.600000,90.700000,97.000000,280.000000
1doseMMRVaccinationAge,24 Months,Michigan,1995,80.400000,74.000000,85.500000,395.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,MD-Rest of State,2010,92.000000,86.100000,95.600000,259.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,Region  8,2008,92.400000,86.800000,95.700000,329.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Indiana,2005,86.300000,72.400000,93.800000,94.000000
1doseMMRVaccinationFacilityType,Public,North Dakota,1996,89.200000,79.800000,94.500000,104.000000
1doseMMRVaccinationWIC,Participating,CO-Rest of State,2003,79.300000,66.900000,87.900000,77.000000
1doseMMRVaccinationAge,19 Months,NY-City of New York,2007,89.500000,85.400000,92.500000,311.000000
1doseMMRVaccinationUrbanicity,Living In A Non MSA,Illinois,2014,95.100000,81.000000,98.900000,35.000000
1doseMMRVaccinationFacilityType,Public,Montana,2000,87.200000,73.700000,94.300000,63.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,PA-Rest of State,1995,90.100000,82.900000,94.400000,142.000000
1doseMMRVaccinationVFCProgramProvider,Participating,TX-City of Houston,2009,87.200000,81.400000,91.500000,218.000000
1doseMMRVaccinationFacilityType,Private,MA-Rest of State,2006,96.400000,90.300000,98.700000,160.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,Region  1,2014,92.200000,82.400000,96.800000,134.000000
1doseMMRVaccinationWIC,Not Participating ,Iowa,2009,93.900000,89.000000,96.700000,178.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Arizona,1996,84.500000,78.900000,88.900000,271.000000
1doseMMRVaccinationFacilityType,Private,Montana,2003,91.100000,84.000000,95.300000,121.000000
1doseMMRVaccinationAge,24 Months,District of Columbia,2015,92.200000,87.400000,95.300000,321.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,WA-Eastern/Western WA Counties,2009,86.400000,76.700000,92.500000,98.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,New Hampshire,2009,94.000000,78.700000,98.500000,32.000000
1doseMMRVaccinationFacilityType,Public,Illinois,2010,88.600000,77.600000,94.600000,96.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,AZ-Rest of State,2002,83.000000,76.700000,87.800000,228.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,Utah,1999,92.400000,83.700000,96.600000,124.000000
1doseMMRVaccinationPoverty,Living Below Poverty,Vermont,1998,97.400000,89.800000,99.400000,46.000000
1doseMMRVaccinationRaceEthnicity,Black only  non-Hispanic,Region  2,1997,90.100000,79.700000,95.500000,179.000000
1doseMMRVaccinationWIC,Participating,TX-Travis County,2017,92.700000,82.600000,97.100000,91.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,South Dakota,2000,94.500000,79.300000,98.700000,32.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,Louisiana,2005,90.700000,87.200000,93.300000,385.000000
1doseMMRVaccinationAge,19 Months,North Dakota,1998,81.600000,76.500000,85.800000,322.000000
1doseMMRVaccinationWIC,Participating,CA-San Diego County,2003,92.200000,84.400000,96.300000,110.000000
1doseMMRVaccinationAge,13 Months,TX-Dallas County,2010,57.900000,50.700000,64.800000,252.000000
1doseMMRVaccinationAge,24 Months,LA-Orleans Parish,2002,87.100000,81.300000,91.200000,242.000000
1doseMMRVaccinationWIC,Participating,Rhode Island,2017,95.700000,86.700000,98.700000,97.000000
1doseMMRVaccinationFacilityType,Mixed,Georgia,1999,98.600000,93.900000,99.700000,37.000000
1doseMMRVaccinationWIC,Participating,Oklahoma,2003,86.800000,76.700000,93.000000,170.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,TX-Bexar County,2007,90.600000,78.900000,96.100000,79.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,New York,2009,90.200000,86.100000,93.300000,344.000000
1doseMMRVaccinationAge,13 Months,Maryland,2015,64.300000,56.700000,71.300000,361.000000
1doseMMRVaccinationPoverty,Living Below Poverty,Region  3,2008,90.200000,81.700000,95.000000,483.000000
1doseMMRVaccinationPoverty,Living Below Poverty,New Jersey,2008,94.800000,77.700000,99.000000,41.000000
1doseMMRVaccinationAge,19-35 Months,Illinois,2003,93.600000,90.200000,95.900000,538.000000
1doseMMRVaccinationFacilityType,Private,Vermont,2000,94.400000,89.700000,97.100000,196.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,Nevada,2013,88.400000,80.700000,93.300000,126.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,Florida,2004,94.400000,89.200000,97.100000,294.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,TX-El Paso County,1998,88.700000,80.900000,93.600000,114.000000
1doseMMRVaccinationWIC,Not Participating ,United States,2012,91.000000,89.800000,92.100000,8808.000000
1doseMMRVaccinationWIC,Not Participating ,Wyoming,2007,92.000000,85.800000,95.700000,142.000000
1doseMMRVaccinationUrbanicity,Living In A Non MSA,Indiana,2006,94.200000,83.000000,98.100000,49.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,Wyoming,2007,86.600000,79.100000,91.600000,207.000000
1doseMMRVaccinationFacilityType,Mixed,IN-Rest of State,1996,93.800000,77.100000,98.500000,42.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,Arkansas,2013,83.900000,71.900000,91.300000,107.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,Maine,2008,92.700000,88.300000,95.500000,248.000000
1doseMMRVaccinationFacilityType,Private,Wyoming,2015,100.000000,nan,nan,95.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,IN-Lake County,2009,85.400000,70.500000,93.500000,53.000000
1doseMMRVaccinationWIC,Not Participating ,Region  5,2015,92.600000,90.200000,94.400000,1035.000000
1doseMMRVaccinationFacilityType,Mixed,Nevada,2011,84.300000,68.500000,93.000000,76.000000
1doseMMRVaccinationRaceEthnicity,Black only  non-Hispanic,Virginia,2006,91.400000,75.600000,97.300000,35.000000
1doseMMRVaccinationAge,13 Months,Wyoming,1999,32.500000,27.000000,38.600000,309.000000
1doseMMRVaccinationFacilityType,Other,South Dakota,2002,94.600000,84.100000,98.300000,61.000000
1doseMMRVaccinationAge,19-35 Months,Virginia,2002,90.300000,85.200000,93.700000,272.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,Mississippi,2010,92.500000,87.400000,95.700000,181.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Region  1,2009,93.700000,87.900000,96.900000,303.000000
1doseMMRVaccinationAge,19 Months,Region  6,1998,82.500000,80.100000,84.600000,2663.000000
1doseMMRVaccinationAge,19 Months,TX-City of Houston,2008,86.700000,80.600000,91.100000,269.000000
1doseMMRVaccinationFacilityType,Public,Massachusetts,1999,93.100000,71.000000,98.700000,65.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,IL-City of Chicago,2007,93.400000,87.000000,96.800000,112.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,TX-Rest of State,2001,92.800000,81.200000,97.400000,149.000000
1doseMMRVaccinationAge,13 Months,West Virginia,2010,42.900000,36.700000,49.400000,304.000000
1doseMMRVaccinationWIC,Participating,Rhode Island,2008,93.300000,85.600000,97.100000,80.000000
1doseMMRVaccinationFacilityType,Private,TX-Bexar County,2003,94.100000,88.600000,97.100000,152.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,Maryland,2006,96.000000,90.300000,98.400000,394.000000
1doseMMRVaccinationFacilityType,Public,North Carolina,2003,93.900000,82.200000,98.100000,34.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,United States,1999,90.900000,89.900000,91.900000,10000.000000
1doseMMRVaccinationWIC,Not Participating ,Louisiana,2015,95.500000,88.000000,98.400000,86.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,South Carolina,2010,94.600000,88.800000,97.500000,111.000000
1doseMMRVaccinationAge,24 Months,NV-Clark County,2005,82.500000,75.400000,87.900000,179.000000
1doseMMRVaccinationWIC,Not Participating ,Region 10,2006,88.300000,85.000000,91.000000,754.000000
1doseMMRVaccinationFacilityType,Private,New Mexico,2007,91.200000,85.400000,94.900000,158.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,AL-Rest of State,1998,96.600000,92.900000,98.400000,202.000000
1doseMMRVaccinationFacilityType,Private,Nevada,1997,87.300000,77.900000,93.100000,111.000000
1doseMMRVaccinationFacilityType,Other,Region  1,2004,92.200000,85.500000,95.900000,376.000000
1doseMMRVaccinationFacilityType,Private,California,2008,92.100000,87.500000,95.000000,577.000000
1doseMMRVaccinationFacilityType,Private,CO-Rest of State,2006,92.500000,85.300000,96.300000,120.000000
1doseMMRVaccinationAge,13 Months,PA-Philadelphia,2003,43.800000,37.300000,50.600000,295.000000
1doseMMRVaccinationAge,24 Months,Tennessee,1996,87.500000,84.300000,90.100000,831.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,WA-King County,1997,95.600000,90.100000,98.100000,141.000000
1doseMMRVaccinationRaceEthnicity,Asian only  non-Hispanic,PA-Philadelphia,2015,93.900000,76.800000,98.600000,34.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,Arkansas,2007,93.300000,89.100000,95.900000,259.000000
1doseMMRVaccinationAge,19 Months,TX-Dallas County,2006,90.700000,84.600000,94.500000,208.000000
1doseMMRVaccinationAge,13 Months,Florida,2017,64.500000,56.500000,71.800000,314.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,Region 10,1995,89.500000,86.400000,92.000000,798.000000
1doseMMRVaccinationAge,19 Months,GA-Fulton/DeKalb Counties,2001,83.700000,77.900000,88.200000,317.000000
1doseMMRVaccinationFacilityType,Private,Hawaii,2000,93.500000,87.900000,96.600000,180.000000
1doseMMRVaccinationWIC,Not Participating ,Montana,2003,91.600000,85.500000,95.300000,155.000000
1doseMMRVaccinationVFCProgramProvider,Not Participating ,Colorado,2011,77.800000,44.800000,93.800000,54.000000
1doseMMRVaccinationUrbanicity,Living In A Non MSA,IN-Rest of State,2001,91.800000,84.200000,95.900000,97.000000
1doseMMRVaccinationFacilityType,Private,TN-Davidson County,1998,92.800000,86.400000,96.300000,142.000000
1doseMMRVaccinationAge,19-35 Months,TX-Dallas County,2007,89.900000,84.900000,93.300000,276.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,Region 10,2009,88.900000,84.500000,92.200000,333.000000
1doseMMRVaccinationPoverty,Living Below Poverty,IN-Rest of State,1996,67.800000,48.000000,82.800000,33.000000
1doseMMRVaccinationAge,13 Months,Connecticut,2009,53.000000,43.300000,62.500000,229.000000
1doseMMRVaccinationAge,13 Months,Alaska,2016,39.000000,32.600000,45.800000,288.000000
1doseMMRVaccinationPoverty,Unknown poverty,New York,2011,95.800000,82.200000,99.100000,38.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,NY-City of New York,2001,94.600000,82.700000,98.500000,73.000000
1doseMMRVaccinationWIC,Not Participating ,MD-City of Baltimore,2006,94.600000,85.600000,98.100000,87.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,Wisconsin,2009,98.200000,94.300000,99.400000,119.000000
1doseMMRVaccinationVFCProgramProvider,Participating,NJ-City of Newark,2004,93.300000,87.800000,96.500000,253.000000
1doseMMRVaccinationWIC,Not Participating ,IN-Marion County,2007,89.800000,83.000000,94.100000,195.000000
1doseMMRVaccinationAge,19 Months,Idaho,2014,84.600000,77.700000,89.700000,235.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,IL-Rest of State,2008,92.600000,88.000000,95.600000,280.000000
1doseMMRVaccinationPoverty,Living Below Poverty,CA-Santa Clara County,2002,88.600000,74.700000,95.400000,43.000000
1doseMMRVaccinationAge,24 Months,FL-Miami-Dade County,1995,89.900000,82.200000,94.400000,172.000000
1doseMMRVaccinationAge,24 Months,Alaska,1997,82.300000,76.900000,86.700000,293.000000
1doseMMRVaccinationAge,24 Months,Wisconsin,1995,87.900000,83.900000,91.000000,468.000000
1doseMMRVaccinationPoverty,Unknown poverty,Region  6,2009,89.700000,79.300000,95.200000,83.000000
1doseMMRVaccinationFacilityType,Private,OH-Cuyahoga County,1999,91.400000,81.900000,96.200000,183.000000
1doseMMRVaccinationFacilityType,Other,Oregon,2017,79.400000,59.100000,91.100000,38.000000
1doseMMRVaccinationFacilityType,Other,Kansas,1998,90.800000,77.100000,96.600000,48.000000
1doseMMRVaccinationUrbanicity,Living In A Non MSA,Nevada,2009,88.200000,70.300000,96.000000,34.000000
1doseMMRVaccinationWIC,Not Participating ,OH-Rest of State,2006,92.500000,86.500000,96.000000,168.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Oregon,2005,83.900000,74.400000,90.400000,107.000000
1doseMMRVaccinationFacilityType,Private,IN-Rest of State,2009,85.900000,73.900000,92.900000,116.000000
1doseMMRVaccinationUrbanicity,Living In A Non MSA,Minnesota,2001,91.100000,81.400000,96.000000,79.000000
1doseMMRVaccinationWIC,Not Participating ,CO-Denver,2005,90.600000,81.300000,95.500000,151.000000
1doseMMRVaccinationFacilityType,Other,Region 10,2004,88.700000,81.100000,93.500000,203.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,Mississippi,1998,92.600000,87.200000,95.800000,184.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,Michigan,1998,92.300000,86.300000,95.800000,169.000000
1doseMMRVaccinationAge,19 Months,KS-Eastern KS Counties,2006,84.600000,78.700000,89.100000,288.000000
1doseMMRVaccinationAge,24 Months,WA-King County,2002,91.000000,86.700000,94.000000,279.000000
1doseMMRVaccinationPoverty,Living Below Poverty,Washington,2012,84.800000,69.900000,93.000000,60.000000
1doseMMRVaccinationAge,19-35 Months,Louisiana,2008,94.200000,91.100000,96.300000,340.000000
1doseMMRVaccinationPoverty,Living Below Poverty,AZ-Rest of State,2009,92.200000,84.000000,96.400000,78.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,Minnesota,1995,92.900000,88.400000,95.800000,195.000000
1doseMMRVaccinationPoverty,Living Below Poverty,Florida,1999,92.000000,83.900000,96.200000,186.000000
1doseMMRVaccinationWIC,Participating,West Virginia,2005,83.800000,75.800000,89.400000,133.000000
1doseMMRVaccinationAge,13 Months,WA-Eastern/Western WA Counties,2009,56.500000,49.800000,62.900000,274.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,WI-Milwaukee County,1999,93.300000,88.300000,96.300000,227.000000
1doseMMRVaccinationRaceEthnicity,Black only  non-Hispanic,South Carolina,1998,96.400000,90.800000,98.700000,93.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,TX-Dallas County,2007,91.300000,84.000000,95.400000,118.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,Maryland,2010,90.600000,83.400000,94.900000,222.000000
1doseMMRVaccinationFacilityType,Public,FL-Rest of State,2005,82.100000,61.700000,92.900000,38.000000
1doseMMRVaccinationFacilityType,Public,Georgia,1999,91.900000,82.200000,96.500000,81.000000
1doseMMRVaccinationAge,24 Months,North Dakota,1998,86.500000,81.900000,90.100000,322.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,Minnesota,2005,88.000000,79.400000,93.300000,155.000000
1doseMMRVaccinationFacilityType,Other,United States,2006,91.600000,90.400000,92.600000,6704.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,Hawaii,2015,93.100000,79.500000,97.900000,48.000000
1doseMMRVaccinationAge,19 Months,AZ-Rest of State,2004,89.000000,83.500000,92.800000,278.000000
1doseMMRVaccinationAge,19-35 Months,Kansas,2011,91.000000,85.600000,94.500000,359.000000
1doseMMRVaccinationWIC,Not Participating ,MA-Rest of State,2006,97.500000,94.100000,99.000000,188.000000
1doseMMRVaccinationFacilityType,Other,Rhode Island,1997,93.300000,80.800000,97.900000,42.000000
1doseMMRVaccinationFacilityType,Private,Virginia,1998,88.900000,82.600000,93.100000,183.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Maryland,2008,92.300000,87.300000,95.500000,334.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,IN-Rest of State,1995,87.400000,80.700000,92.000000,172.000000
1doseMMRVaccinationRaceEthnicity,Black only  non-Hispanic,IL-City of Chicago,2011,91.700000,81.000000,96.600000,87.000000
1doseMMRVaccinationFacilityType,Private,Missouri,2001,90.700000,84.300000,94.700000,158.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,TX-City of Houston,2009,86.900000,81.100000,91.100000,232.000000
1doseMMRVaccinationFacilityType,Other,IL-City of Chicago,1999,85.600000,76.700000,91.400000,99.000000
1doseMMRVaccinationVFCProgramProvider,Participating,NM-Rest of State,2007,93.800000,89.700000,96.300000,198.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,District of Columbia,2000,93.600000,82.800000,97.800000,86.000000
1doseMMRVaccinationVFCProgramProvider,Participating,Ohio,2009,90.800000,85.200000,94.400000,236.000000
1doseMMRVaccinationRaceEthnicity,Black only  non-Hispanic,Region  6,2006,85.600000,77.700000,91.000000,221.000000
1doseMMRVaccinationAge,24 Months,Nebraska,2015,94.500000,90.200000,96.900000,231.000000
1doseMMRVaccinationAge,19 Months,South Dakota,1996,86.000000,80.600000,90.100000,304.000000
1doseMMRVaccinationAge,19 Months,GA-Rest of State,2000,85.300000,79.500000,89.600000,281.000000
1doseMMRVaccinationWIC,Participating,United States,2008,92.300000,91.200000,93.200000,7765.000000
1doseMMRVaccinationAge,19 Months,Louisiana,1997,79.900000,75.000000,84.100000,511.000000
1doseMMRVaccinationFacilityType,Public,Region  9,2011,96.600000,91.800000,98.600000,113.000000
1doseMMRVaccinationAge,19 Months,Arizona,2010,82.900000,76.800000,87.700000,299.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Tennessee,2014,96.600000,91.500000,98.700000,126.000000
1doseMMRVaccinationAge,24 Months,NY-Rest of State,2013,92.400000,86.700000,95.800000,226.000000
1doseMMRVaccinationRaceEthnicity,Black only  non-Hispanic,Georgia,2014,90.300000,73.900000,96.800000,75.000000
1doseMMRVaccinationAge,19 Months,Rhode Island,1998,92.900000,89.000000,95.500000,297.000000
1doseMMRVaccinationPoverty,Living Below Poverty,NM-Rest of State,2003,87.600000,75.400000,94.300000,60.000000
1doseMMRVaccinationWIC,Not Participating ,IL-Rest of State,2008,92.200000,87.000000,95.500000,233.000000
1doseMMRVaccinationFacilityType,Public,Kansas,2010,90.400000,65.800000,97.900000,38.000000
1doseMMRVaccinationFacilityType,Public,WI-Rest of State,2001,92.400000,80.800000,97.300000,48.000000
1doseMMRVaccinationAge,19-35 Months,Region  9,2001,90.300000,88.000000,92.300000,2435.000000
1doseMMRVaccinationVFCProgramProvider,Participating,NY-Rest of State,2004,98.000000,94.900000,99.300000,221.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,Missouri,2007,93.100000,84.800000,97.000000,161.000000
1doseMMRVaccinationAge,13 Months,District of Columbia,2011,65.400000,58.500000,71.800000,369.000000
1doseMMRVaccinationFacilityType,Mixed,Colorado,2009,100.000000,nan,nan,40.000000
1doseMMRVaccinationFacilityType,Other,Wisconsin,2010,96.100000,90.700000,98.400000,83.000000
1doseMMRVaccinationAge,24 Months,NY-City of New York,2015,92.300000,88.200000,95.000000,291.000000
