Dose,Category,Location,Denominator,Coverage,Lower CI,Higher CI,Year
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,OH,590.000000,86.300000,82.300000,89.600000,1996
3dosesHepatitisBVaccinationFacilityType,Mixed,OR,42.000000,90.000000,68.300000,97.400000,2017
3dosesHepatitisBVaccinationUrbanicity,Living In A Non MSA,NC,103.000000,89.900000,80.300000,95.200000,1997
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,CO,108.000000,96.900000,87.500000,99.300000,2008
3dosesHepatitisBVaccinationFacilityType,Private,CA,204.000000,92.800000,88.100000,95.800000,2012
3dosesHepatitisBVaccinationAge,19 Months,ME,299.000000,83.100000,78.000000,87.200000,2000
1doseHepatitisBVaccination1dayAge,0-1 days,LA,577.000000,41.900000,35.900000,48.100000,2001
1doseHepatitisBVaccination1dayAge,0-1 days,MN,274.000000,27.700000,22.300000,33.900000,2009
3dosesHepatitisBVaccinationFacilityType,Public,IN,117.000000,97.600000,93.300000,99.200000,2009
3dosesHepatitisBVaccinationWIC,Participating,GA,231.000000,95.700000,91.500000,97.800000,2006
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,AR,64.000000,90.400000,70.000000,97.400000,2006
3dosesHepatitisBVaccinationAge,24 Months,IA,308.000000,88.200000,83.800000,91.600000,1999
3dosesHepatitisBVaccinationRaceEthnicity,Asian only  non-Hispanic,NJ,44.000000,100.000000,nan,nan,2017
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,FL,169.000000,90.900000,84.100000,95.000000,2015
3dosesHepatitisBVaccinationAge,19 Months,KY,272.000000,91.900000,86.800000,95.200000,2008
3dosesHepatitisBVaccinationWIC,Not Participating ,NM,93.000000,91.200000,81.800000,96.000000,2005
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,WA,253.000000,86.600000,78.900000,91.700000,2002
1doseHepatitisBVaccination1dayAge,0-1 days,WA,295.000000,63.900000,56.600000,70.600000,2011
3dosesHepatitisBVaccinationFacilityType,Other,MS,31.000000,91.900000,75.100000,97.700000,2008
3dosesHepatitisBVaccinationAge,24 Months,TX,1186.000000,76.600000,72.500000,80.300000,1996
3dosesHepatitisBVaccinationAge,24 Months,AL,419.000000,93.700000,89.900000,96.100000,2005
3dosesHepatitisBVaccinationVFCProgramProvider,Participating,CT,251.000000,94.800000,90.300000,97.300000,2012
3dosesHepatitisBVaccinationFacilityType,Private,DE,177.000000,91.800000,86.100000,95.300000,2000
3dosesHepatitisBVaccinationAge,13 Months,CT,252.000000,92.600000,87.700000,95.600000,2007
3dosesHepatitisBVaccinationUrbanicity,Living In A Non MSA,TX,54.000000,97.000000,88.300000,99.300000,2003
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,CT,210.000000,94.700000,90.100000,97.200000,2000
3dosesHepatitisBVaccinationAge,19 Months,MD,303.000000,91.800000,86.600000,95.100000,2014
1doseHepatitisBVaccination1dayAge,0-1 days,KS,207.000000,71.900000,64.300000,78.300000,2016
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,NJ,212.000000,87.400000,80.700000,92.100000,2012
3dosesHepatitisBVaccinationAge,19-35 Months,ME,209.000000,84.500000,78.000000,89.400000,2013
3dosesHepatitisBVaccinationPoverty,Living Below Poverty,UT,43.000000,83.700000,68.700000,92.300000,2000
1doseHepatitisBVaccination2dayAge,0-2 days,KY,243.000000,78.700000,71.100000,84.700000,2016
3dosesHepatitisBVaccinationRaceEthnicity,Black only  non-Hispanic,MI,30.000000,87.000000,62.600000,96.400000,2015
2dosesHepatitisBVaccinationAge,7 Months,MN,279.000000,91.600000,86.300000,95.000000,2016
3dosesHepatitisBVaccinationRaceEthnicity,Hispanic,IN,66.000000,99.400000,95.800000,99.900000,2004
3dosesHepatitisBVaccinationAge,19 Months,CT,280.000000,91.900000,87.500000,94.900000,2000
1doseHepatitisBVaccinationAge,3 Months,RI,293.000000,97.100000,94.000000,98.600000,2012
3dosesHepatitisBVaccinationVFCProgramProvider,Not Participating ,DC,85.000000,90.600000,79.500000,96.000000,2011
3dosesHepatitisBVaccinationWIC,Not Participating ,WI,145.000000,87.000000,78.400000,92.500000,2014
3dosesHepatitisBVaccinationAge,19 Months,SD,282.000000,84.000000,77.200000,89.100000,2002
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,IN,158.000000,79.300000,70.900000,85.800000,1997
1doseHepatitisBVaccination2dayAge,0-2 days,NV,232.000000,61.700000,54.400000,68.500000,2007
3dosesHepatitisBVaccinationFacilityType,Mixed,CO,64.000000,94.900000,84.300000,98.500000,2011
3dosesHepatitisBVaccinationAge,19 Months,VT,284.000000,77.000000,71.500000,81.800000,2002
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,OH,428.000000,77.800000,71.000000,83.400000,1997
3dosesHepatitisBVaccinationAge,19 Months,US,14893.000000,89.900000,88.900000,90.800000,2014
3dosesHepatitisBVaccinationAge,13 Months,MD,433.000000,81.200000,74.100000,86.700000,2005
2dosesHepatitisBVaccinationAge,7 Months,NJ,262.000000,91.700000,86.700000,95.000000,2014
3dosesHepatitisBVaccinationAge,24 Months,IN,566.000000,71.900000,66.700000,76.600000,1996
3dosesHepatitisBVaccinationAge,19-35 Months,OH,673.000000,95.500000,92.500000,97.300000,2005
3dosesHepatitisBVaccinationAge,7 Months,PA,609.000000,54.200000,48.500000,59.800000,2008
3dosesHepatitisBVaccinationRaceEthnicity,Hispanic,NY,94.000000,91.300000,82.900000,95.800000,1996
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,MI,255.000000,96.100000,92.900000,97.900000,2009
1doseHepatitisBVaccination1dayAge,0-1 days,DC,320.000000,61.300000,54.800000,67.400000,2012
3dosesHepatitisBVaccinationWIC,Not Participating ,GA,302.000000,96.000000,91.600000,98.100000,2005
3dosesHepatitisBVaccinationFacilityType,Public,US,1538.000000,93.300000,90.900000,95.000000,2014
2dosesHepatitisBVaccinationAge,5 Months,ND,258.000000,85.400000,78.000000,90.600000,2012
2dosesHepatitisBVaccinationAge,7 Months,NM,332.000000,92.300000,88.200000,95.100000,2011
1doseHepatitisBVaccinationAge,3 Months,HI,296.000000,92.500000,84.900000,96.400000,2011
3dosesHepatitisBVaccinationAge,24 Months,WV,259.000000,86.900000,80.400000,91.600000,2014
1doseHepatitisBVaccinationAge,3 Months,AZ,272.000000,94.800000,90.100000,97.300000,2012
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,VT,200.000000,92.300000,86.400000,95.700000,2006
3dosesHepatitisBVaccinationFacilityType,Private,VT,116.000000,91.200000,83.500000,95.500000,2015
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,AR,206.000000,85.300000,78.600000,90.200000,1996
3dosesHepatitisBVaccinationWIC,Not Participating ,KS,101.000000,92.900000,85.500000,96.600000,2013
3dosesHepatitisBVaccinationAge,19 Months,AZ,374.000000,63.200000,57.200000,68.800000,1995
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,US,7768.000000,92.700000,91.700000,93.600000,2004
3dosesHepatitisBVaccinationRaceEthnicity,Hispanic,OR,52.000000,94.100000,82.200000,98.200000,2012
3dosesHepatitisBVaccinationAge,19 Months,OR,288.000000,86.000000,80.500000,90.200000,2001
3dosesHepatitisBVaccinationFacilityType,Private,MN,139.000000,86.600000,78.400000,91.900000,2010
3dosesHepatitisBVaccinationWIC,Not Participating ,AL,119.000000,97.700000,94.100000,99.100000,2016
1doseHepatitisBVaccination2dayAge,0-2 days,VA,356.000000,69.900000,60.500000,77.900000,2017
2dosesHepatitisBVaccinationAge,13 Months,IL,762.000000,93.900000,90.500000,96.100000,2011
3dosesHepatitisBVaccinationVFCProgramProvider,Not Participating ,MO,51.000000,96.900000,87.000000,99.300000,2006
1doseHepatitisBVaccinationAge,3 Months,AK,305.000000,90.900000,86.800000,93.800000,1998
3dosesHepatitisBVaccinationVFCProgramProvider,Participating,ND,250.000000,93.800000,84.600000,97.700000,2002
3dosesHepatitisBVaccinationRaceEthnicity,Hispanic,NM,99.000000,89.300000,81.200000,94.200000,2005
3dosesHepatitisBVaccinationFacilityType,Other,CO,34.000000,96.300000,84.900000,99.200000,2015
1doseHepatitisBVaccination1dayAge,0-1 days,OR,273.000000,49.000000,42.200000,55.800000,2010
2dosesHepatitisBVaccinationAge,5 Months,KY,318.000000,91.000000,85.600000,94.500000,2007
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,SD,34.000000,100.000000,nan,nan,2014
3dosesHepatitisBVaccinationFacilityType,Mixed,WI,51.000000,95.000000,81.600000,98.800000,1998
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,MN,107.000000,93.600000,84.700000,97.500000,2001
3dosesHepatitisBVaccinationAge,19-35 Months,SD,319.000000,81.100000,75.800000,85.500000,1997
3dosesHepatitisBVaccinationAge,7 Months,IL,617.000000,26.600000,22.100000,31.600000,2000
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,KY,76.000000,95.300000,81.800000,98.900000,2004
2dosesHepatitisBVaccinationAge,5 Months,TX,1345.000000,67.900000,62.900000,72.600000,2002
1doseHepatitisBVaccination2dayAge,0-2 days,ME,219.000000,59.900000,52.300000,66.900000,2007
3dosesHepatitisBVaccinationRaceEthnicity,Hispanic,HI,51.000000,95.200000,82.400000,98.800000,2003
1doseHepatitisBVaccination1dayAge,0-1 days,MT,293.000000,42.300000,36.000000,49.000000,2000
3dosesHepatitisBVaccinationFacilityType,Private,AL,264.000000,95.200000,90.100000,97.800000,2005
1doseHepatitisBVaccination1dayAge,0-1 days,NC,261.000000,76.800000,69.700000,82.700000,2015
3dosesHepatitisBVaccinationUrbanicity,Living In A Non MSA,IL,54.000000,82.100000,69.200000,90.300000,2001
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,AZ,148.000000,93.400000,88.100000,96.400000,2009
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,US,10771.000000,92.300000,91.400000,93.100000,2009
3dosesHepatitisBVaccinationFacilityType,Public,VT,30.000000,96.000000,76.400000,99.400000,2001
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,NJ,242.000000,87.500000,81.300000,91.800000,2012
3dosesHepatitisBVaccinationUrbanicity,Living In A Non MSA,TN,77.000000,96.300000,87.400000,99.000000,2005
3dosesHepatitisBVaccinationFacilityType,Public,DC,41.000000,89.400000,66.000000,97.400000,2013
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,CA,771.000000,89.600000,85.600000,92.500000,2004
3dosesHepatitisBVaccinationAge,19 Months,DC,269.000000,88.700000,82.300000,93.000000,2017
3dosesHepatitisBVaccinationAge,19 Months,AK,240.000000,87.200000,81.100000,91.600000,2006
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,DC,222.000000,95.600000,91.000000,97.900000,2004
3dosesHepatitisBVaccinationFacilityType,Private,MD,371.000000,94.800000,90.400000,97.300000,2004
3dosesHepatitisBVaccinationWIC,Not Participating ,ND,166.000000,92.300000,81.200000,97.100000,2011
3dosesHepatitisBVaccinationAge,19 Months,NM,203.000000,86.200000,79.800000,90.800000,2005
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,NC,145.000000,91.700000,81.900000,96.400000,2013
3dosesHepatitisBVaccinationWIC,Not Participating ,UT,167.000000,90.200000,83.000000,94.600000,2016
2dosesHepatitisBVaccinationAge,5 Months,MS,339.000000,89.600000,84.800000,93.000000,2009
3dosesHepatitisBVaccinationAge,19 Months,WY,250.000000,88.100000,81.800000,92.400000,2007
1doseHepatitisBVaccination3dayAge,0-3 days,HI,279.000000,50.900000,44.300000,57.600000,2001
3dosesHepatitisBVaccinationWIC,Participating,NJ,89.000000,94.200000,82.500000,98.200000,2015
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,WA,361.000000,67.200000,61.300000,72.700000,1995
3dosesHepatitisBVaccinationVFCProgramProvider,Participating,HI,228.000000,90.900000,83.400000,95.200000,2000
3dosesHepatitisBVaccinationAge,19-35 Months,MS,205.000000,95.200000,89.000000,98.000000,2014
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,NC,189.000000,93.000000,86.400000,96.600000,2003
1doseHepatitisBVaccinationAge,3 Months,IA,328.000000,86.800000,82.400000,90.200000,1998
3dosesHepatitisBVaccinationVFCProgramProvider,Not Participating ,MD,62.000000,85.400000,64.100000,95.100000,2015
3dosesHepatitisBVaccinationAge,24 Months,OR,288.000000,87.700000,82.200000,91.700000,2001
3dosesHepatitisBVaccinationFacilityType,Private,GA,316.000000,84.300000,76.500000,89.800000,1997
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,NJ,281.000000,97.700000,95.300000,98.900000,2004
3dosesHepatitisBVaccinationUrbanicity,Living In A Non MSA,NY,32.000000,90.200000,72.300000,97.000000,2001
1doseHepatitisBVaccinationAge,3 Months,CA,1074.000000,89.100000,86.100000,91.500000,2003
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,PA,322.000000,95.300000,91.100000,97.500000,2015
3dosesHepatitisBVaccinationAge,19-35 Months,ND,303.000000,91.800000,87.200000,94.800000,2013
1doseHepatitisBVaccination1dayAge,0-1 days,MD,546.000000,45.200000,38.900000,51.700000,2004
3dosesHepatitisBVaccinationFacilityType,Other,MT,74.000000,77.900000,63.200000,87.800000,2002
2dosesHepatitisBVaccinationAge,5 Months,SD,296.000000,83.500000,76.900000,88.500000,2006
1doseHepatitisBVaccination1dayAge,0-1 days,NM,325.000000,41.800000,35.100000,48.900000,2004
1doseHepatitisBVaccinationAge,3 Months,ID,198.000000,95.300000,91.500000,97.500000,2017
2dosesHepatitisBVaccinationAge,5 Months,ID,233.000000,83.300000,77.300000,88.000000,2013
2dosesHepatitisBVaccinationAge,7 Months,NE,219.000000,91.300000,84.700000,95.200000,2016
3dosesHepatitisBVaccinationAge,13 Months,MS,303.000000,87.600000,80.900000,92.200000,2012
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,MT,230.000000,89.700000,84.700000,93.200000,2003
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,LA,149.000000,93.700000,87.100000,97.000000,2010
3dosesHepatitisBVaccinationAge,19 Months,ID,227.000000,89.700000,84.800000,93.200000,2005
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,AZ,210.000000,87.200000,80.600000,91.900000,2005
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,DE,193.000000,96.900000,92.800000,98.700000,2006
3dosesHepatitisBVaccinationPoverty,Living Below Poverty,DC,40.000000,100.000000,nan,nan,2010
3dosesHepatitisBVaccinationAge,19-35 Months,NY,454.000000,90.900000,87.000000,93.700000,2010
3dosesHepatitisBVaccinationAge,19 Months,OH,653.000000,55.900000,50.300000,61.300000,1995
3dosesHepatitisBVaccinationWIC,Not Participating ,OR,117.000000,89.900000,80.200000,95.100000,2007
3dosesHepatitisBVaccinationAge,24 Months,NE,243.000000,91.000000,85.600000,94.500000,2010
3dosesHepatitisBVaccinationAge,19-35 Months,CO,298.000000,88.500000,83.100000,92.300000,2004
3dosesHepatitisBVaccinationFacilityType,Public,CA,151.000000,94.000000,81.800000,98.200000,2008
3dosesHepatitisBVaccinationAge,7 Months,OK,268.000000,25.100000,19.500000,31.700000,2002
3dosesHepatitisBVaccinationRaceEthnicity,Black only  non-Hispanic,MD,201.000000,76.200000,66.400000,83.900000,1996
3dosesHepatitisBVaccinationFacilityType,Public,TN,171.000000,89.900000,82.300000,94.500000,1999
3dosesHepatitisBVaccinationFacilityType,Mixed,MS,49.000000,97.300000,83.300000,99.600000,2017
1doseHepatitisBVaccination1dayAge,0-1 days,HI,230.000000,51.600000,43.600000,59.500000,2006
2dosesHepatitisBVaccinationAge,7 Months,TN,826.000000,81.100000,76.700000,85.000000,2002
3dosesHepatitisBVaccinationFacilityType,Public,ME,35.000000,97.700000,85.400000,99.700000,2008
3dosesHepatitisBVaccinationPoverty,Living Below Poverty,US,4705.000000,87.600000,86.000000,89.000000,2000
3dosesHepatitisBVaccinationFacilityType,Mixed,SC,36.000000,100.000000,nan,nan,2014
3dosesHepatitisBVaccinationFacilityType,Private,MT,95.000000,93.200000,84.800000,97.100000,2011
3dosesHepatitisBVaccinationAge,19 Months,NE,301.000000,88.500000,83.400000,92.100000,2001
3dosesHepatitisBVaccinationFacilityType,Other,MD,138.000000,78.300000,65.600000,87.200000,1998
3dosesHepatitisBVaccinationRaceEthnicity,Black only  non-Hispanic,CT,31.000000,86.600000,69.200000,94.900000,1998
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,OR,214.000000,90.900000,85.800000,94.300000,2010
2dosesHepatitisBVaccinationAge,7 Months,KY,220.000000,92.700000,86.900000,96.000000,2014
3dosesHepatitisBVaccinationVFCProgramProvider,Participating,IN,485.000000,97.200000,94.600000,98.500000,2007
3dosesHepatitisBVaccinationFacilityType,Other,AR,38.000000,80.100000,64.600000,89.900000,2002
3dosesHepatitisBVaccinationWIC,Not Participating ,IA,128.000000,96.400000,90.800000,98.600000,2017
3dosesHepatitisBVaccinationAge,19-35 Months,KY,318.000000,94.000000,89.000000,96.900000,2007
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,US,7330.000000,92.200000,91.000000,93.200000,2007
1doseHepatitisBVaccination1dayAge,0-1 days,NY,498.000000,15.900000,12.300000,20.300000,2002
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,UT,128.000000,92.400000,84.900000,96.400000,2016
3dosesHepatitisBVaccinationFacilityType,Private,MI,221.000000,95.900000,90.600000,98.300000,2000
3dosesHepatitisBVaccinationAge,13 Months,GA,284.000000,89.700000,83.300000,93.800000,2012
3dosesHepatitisBVaccinationAge,7 Months,WA,309.000000,70.300000,63.600000,76.200000,2015
3dosesHepatitisBVaccinationWIC,Participating,VT,107.000000,96.300000,89.800000,98.700000,2017
2dosesHepatitisBVaccinationAge,7 Months,NC,311.000000,95.000000,91.600000,97.100000,2004
2dosesHepatitisBVaccinationAge,13 Months,RI,225.000000,74.600000,68.100000,80.200000,1995
3dosesHepatitisBVaccinationAge,13 Months,NE,282.000000,63.800000,57.300000,69.900000,2002
3dosesHepatitisBVaccinationAge,7 Months,CA,1074.000000,25.000000,21.500000,28.900000,2003
3dosesHepatitisBVaccinationPoverty,Living Below Poverty,GA,86.000000,86.700000,73.300000,94.000000,1996
3dosesHepatitisBVaccinationAge,13 Months,OH,219.000000,87.000000,80.500000,91.600000,2015
3dosesHepatitisBVaccinationAge,19-35 Months,FL,856.000000,92.900000,90.100000,95.000000,1999
3dosesHepatitisBVaccinationFacilityType,Public,MD,36.000000,98.800000,91.400000,99.800000,2006
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,WI,74.000000,91.500000,81.900000,96.200000,2002
1doseHepatitisBVaccination3dayAge,0-3 days,CA,1101.000000,14.200000,11.600000,17.300000,2002
3dosesHepatitisBVaccinationWIC,Not Participating ,AL,180.000000,90.500000,83.100000,94.800000,2011
3dosesHepatitisBVaccinationUrbanicity,Living In A Non MSA,WI,51.000000,90.700000,78.200000,96.400000,2007
2dosesHepatitisBVaccinationAge,5 Months,ME,299.000000,80.400000,75.200000,84.700000,2000
2dosesHepatitisBVaccinationAge,13 Months,MA,600.000000,96.300000,93.800000,97.800000,1998
3dosesHepatitisBVaccinationVFCProgramProvider,Participating,AK,241.000000,94.900000,89.600000,97.600000,2014
1doseHepatitisBVaccination1dayAge,0-1 days,IA,266.000000,36.400000,29.700000,43.700000,2009
1doseHepatitisBVaccination3dayAge,0-3 days,OH,300.000000,64.700000,57.400000,71.400000,2008
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,WV,75.000000,68.400000,55.900000,78.700000,1996
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,CA,606.000000,87.300000,83.200000,90.500000,1998
3dosesHepatitisBVaccinationUrbanicity,Living In A Non MSA,MI,46.000000,92.000000,75.600000,97.700000,2010
2dosesHepatitisBVaccinationAge,7 Months,SD,270.000000,81.700000,75.800000,86.500000,2001
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,NY,360.000000,91.100000,87.400000,93.800000,2012
3dosesHepatitisBVaccinationFacilityType,Other,CA,260.000000,90.900000,84.500000,94.900000,2000
3dosesHepatitisBVaccinationAge,24 Months,HI,265.000000,85.500000,79.900000,89.700000,1997
3dosesHepatitisBVaccinationAge,13 Months,LA,574.000000,82.600000,77.700000,86.600000,2000
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,TN,599.000000,85.100000,81.100000,88.400000,1997
3dosesHepatitisBVaccinationPoverty,Living Below Poverty,ND,43.000000,91.100000,77.300000,96.800000,1996
3dosesHepatitisBVaccinationAge,19-35 Months,HI,293.000000,91.900000,87.700000,94.700000,2003
3dosesHepatitisBVaccinationFacilityType,Other,NC,37.000000,94.200000,78.400000,98.700000,2014
3dosesHepatitisBVaccinationRaceEthnicity,Hispanic,CT,238.000000,94.000000,90.000000,96.500000,2001
3dosesHepatitisBVaccinationPoverty,Unknown poverty,TN,36.000000,90.000000,65.700000,97.700000,2006
1doseHepatitisBVaccination1dayAge,0-1 days,SD,327.000000,29.000000,23.300000,35.400000,1999
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,UT,242.000000,92.100000,86.700000,95.400000,2009
3dosesHepatitisBVaccinationRaceEthnicity,Multiple Races  non-Hispanic,TX,32.000000,67.100000,33.600000,89.200000,2013
3dosesHepatitisBVaccinationAge,19-35 Months,MI,254.000000,93.500000,88.500000,96.400000,2015
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,MO,69.000000,88.700000,77.400000,94.700000,1996
3dosesHepatitisBVaccinationAge,19-35 Months,GA,299.000000,93.300000,89.000000,95.900000,2017
3dosesHepatitisBVaccinationRaceEthnicity,Hispanic,GA,35.000000,100.000000,nan,nan,2012
2dosesHepatitisBVaccinationAge,7 Months,NY,454.000000,84.300000,79.500000,88.200000,2010
2dosesHepatitisBVaccinationAge,7 Months,TN,237.000000,90.700000,85.200000,94.200000,2016
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,OK,205.000000,86.300000,79.400000,91.200000,2010
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,NH,188.000000,94.800000,90.000000,97.400000,2013
3dosesHepatitisBVaccinationAge,24 Months,IA,263.000000,94.400000,89.200000,97.200000,2004
3dosesHepatitisBVaccinationVFCProgramProvider,Participating,ME,167.000000,91.400000,85.600000,95.000000,2006
1doseHepatitisBVaccination3dayAge,0-3 days,OK,268.000000,24.000000,18.100000,31.200000,2002
3dosesHepatitisBVaccinationFacilityType,Other,ND,93.000000,92.800000,80.000000,97.700000,2011
1doseHepatitisBVaccination3dayAge,0-3 days,ND,273.000000,80.200000,74.000000,85.300000,2003
3dosesHepatitisBVaccinationAge,19-35 Months,MT,280.000000,89.300000,83.700000,93.100000,2004
3dosesHepatitisBVaccinationAge,19-35 Months,WA,621.000000,78.500000,74.400000,82.100000,1997
1doseHepatitisBVaccination1dayAge,0-1 days,NJ,532.000000,21.700000,16.500000,28.000000,2003
3dosesHepatitisBVaccinationAge,24 Months,AR,291.000000,81.900000,75.100000,87.200000,1999
1doseHepatitisBVaccinationAge,3 Months,ME,299.000000,88.000000,83.700000,91.200000,2000
3dosesHepatitisBVaccinationRaceEthnicity,Asian only  non-Hispanic,NY,56.000000,93.500000,81.500000,97.900000,2012
3dosesHepatitisBVaccinationAge,19 Months,RI,249.000000,95.900000,92.600000,97.800000,2017
3dosesHepatitisBVaccinationRaceEthnicity,Black only  non-Hispanic,NC,64.000000,80.700000,62.300000,91.400000,1999
2dosesHepatitisBVaccinationAge,13 Months,AK,276.000000,91.700000,86.500000,95.000000,2014
3dosesHepatitisBVaccinationAge,19 Months,TX,1299.000000,85.500000,81.400000,88.800000,2014
