dose,category,location,year,coverage,low,high,size
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,Mississippi,2006,84.300000,72.400000,91.600000,91.000000
1doseVaricellaVaccinationAge,19 Months,Massachusetts,2012,87.600000,81.900000,91.700000,270.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,Oklahoma,2012,89.000000,76.600000,95.300000,109.000000
1doseVaricellaVaccinationFacilityType,Public,Missouri,2002,52.300000,35.700000,68.400000,48.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,CA-Santa Clara County,2004,87.100000,78.100000,92.700000,130.000000
1doseVaricellaVaccinationFacilityType,Other,Alaska,2012,78.400000,53.600000,92.000000,31.000000
1doseVaricellaVaccinationWIC,Not Participating ,WI-Milwaukee County,2006,89.600000,82.500000,94.100000,132.000000
1doseVaricellaVaccinationAge,13 Months,Florida,2003,47.300000,42.000000,52.800000,829.000000
1doseVaricellaVaccinationWIC,Not Participating ,Missouri,2011,83.600000,75.300000,89.400000,212.000000
1doseVaricellaVaccinationAge,19 Months,TN-Davidson County,2001,78.300000,72.100000,83.400000,325.000000
1doseVaricellaVaccinationFacilityType,Other,FL-Rest of State,2000,68.300000,51.000000,81.800000,40.000000
1doseVaricellaVaccinationAge,19 Months,Maryland,1996,7.400000,5.100000,10.700000,512.000000
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,District of Columbia,2007,97.500000,84.300000,99.600000,69.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,Alabama,2010,94.500000,85.700000,98.000000,90.000000
1doseVaricellaVaccinationFacilityType,Other,California,2007,92.600000,79.300000,97.600000,95.000000
1doseVaricellaVaccinationFacilityType,Private,Illinois,1998,29.700000,24.000000,36.100000,277.000000
1doseVaricellaVaccinationFacilityType,Private,Region  2,1996,19.800000,16.100000,24.000000,679.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,Oregon,2016,79.800000,71.300000,86.200000,177.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,WI-Rest of State,2006,90.100000,81.800000,94.800000,103.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,Alaska,2012,92.100000,84.800000,96.100000,99.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,Region  4,2006,91.800000,87.800000,94.600000,580.000000
1doseVaricellaVaccinationFacilityType,Private,AZ-Maricopa County,2001,77.600000,70.200000,83.500000,169.000000
1doseVaricellaVaccinationFacilityType,Private,Florida,2000,64.000000,57.500000,70.100000,535.000000
1doseVaricellaVaccinationAge,19-35 Months,CA-Rest of State,1999,66.500000,59.900000,72.500000,281.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,Colorado,2007,87.200000,67.800000,95.600000,45.000000
1doseVaricellaVaccinationAge,19-35 Months,Texas,2008,93.100000,90.100000,95.300000,1377.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,MO-Rest of State,2005,80.500000,68.100000,88.900000,78.000000
1doseVaricellaVaccinationFacilityType,Private,Washington,2013,91.400000,81.200000,96.300000,122.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,Michigan,2002,85.500000,77.700000,90.900000,202.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,Delaware,2014,96.300000,78.000000,99.500000,40.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,Hawaii,2007,94.800000,88.200000,97.800000,94.000000
1doseVaricellaVaccinationWIC,Not Participating ,TX-City of Houston,2006,91.400000,81.700000,96.200000,86.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,North Carolina,2003,89.200000,82.900000,93.300000,162.000000
1doseVaricellaVaccinationFacilityType,Private,Region  7,1999,56.100000,51.200000,60.900000,565.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,Michigan,2010,95.600000,86.800000,98.600000,50.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,New Hampshire,2000,66.700000,60.300000,72.600000,257.000000
1doseVaricellaVaccinationAge,19-35 Months,IL-Rest of State,2008,88.000000,82.700000,91.800000,335.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,United States,1997,25.800000,24.300000,27.400000,9527.000000
1doseVaricellaVaccinationRaceEthnicity,Multiple Races  non-Hispanic,Region  3,2015,87.800000,75.900000,94.200000,189.000000
1doseVaricellaVaccinationFacilityType,Private,Michigan,2016,91.500000,83.100000,95.900000,106.000000
1doseVaricellaVaccinationWIC,Not Participating ,Region  1,2008,93.700000,91.700000,95.200000,996.000000
1doseVaricellaVaccinationWIC,Participating,Missouri,2006,89.500000,79.400000,95.000000,115.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,Region  7,2009,91.600000,87.300000,94.500000,329.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Region  3,2004,88.800000,85.700000,91.300000,1733.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,NY-Rest of State,2011,86.700000,77.300000,92.600000,221.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,Tennessee,2008,94.400000,85.900000,97.900000,81.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,TX-Dallas County,2001,64.800000,50.700000,76.700000,66.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,Region  1,2011,88.000000,57.400000,97.600000,64.000000
1doseVaricellaVaccinationFacilityType,Private,NY-City of New York,2001,81.500000,73.800000,87.300000,138.000000
1doseVaricellaVaccinationFacilityType,Public,Washington,2006,79.700000,63.300000,89.900000,84.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,Oklahoma,2004,83.700000,68.800000,92.300000,106.000000
1doseVaricellaVaccinationAge,13 Months,NY-City of New York,2016,55.400000,48.500000,62.200000,268.000000
1doseVaricellaVaccinationFacilityType,Private,Montana,2013,92.100000,81.400000,96.900000,59.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,Pennsylvania,2006,91.200000,81.800000,96.000000,78.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,Pennsylvania,1998,67.100000,55.600000,76.800000,122.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,Maryland,2009,99.900000,99.000000,100.000000,41.000000
1doseVaricellaVaccinationAge,24 Months,WA-Western Counties,2010,83.900000,77.800000,88.600000,221.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,MO-Rest of State,2006,91.600000,86.800000,94.800000,205.000000
1doseVaricellaVaccinationWIC,Not Participating ,United States,2005,88.400000,87.300000,89.400000,9697.000000
1doseVaricellaVaccinationVFCProgramProvider,Participating,Region  5,2001,68.700000,66.000000,71.200000,2514.000000
1doseVaricellaVaccinationAge,13 Months,NV-Rest of State,2007,52.100000,44.800000,59.300000,232.000000
1doseVaricellaVaccinationFacilityType,Private,District of Columbia,2001,85.400000,76.300000,91.400000,156.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,Minnesota,2001,75.300000,65.100000,83.200000,107.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,North Carolina,2008,85.800000,74.700000,92.600000,94.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,Virginia,2001,85.800000,76.900000,91.600000,146.000000
1doseVaricellaVaccinationFacilityType,Private,Utah,2006,91.000000,81.400000,95.900000,110.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,FL-Rest of State,2009,90.100000,73.700000,96.700000,53.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Virginia,2003,91.800000,86.300000,95.200000,222.000000
1doseVaricellaVaccinationAge,19 Months,TX-City of Houston,1998,34.800000,28.000000,42.300000,227.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,Mississippi,1998,23.300000,14.800000,34.800000,85.000000
1doseVaricellaVaccinationAge,19 Months,New Mexico,2009,84.600000,79.200000,88.700000,342.000000
1doseVaricellaVaccinationAge,24 Months,Pennsylvania,2010,91.500000,88.300000,94.000000,562.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,South Dakota,2011,88.200000,76.100000,94.600000,199.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Vermont,2000,56.200000,49.700000,62.600000,263.000000
1doseVaricellaVaccinationAge,19 Months,KS-Rest of State,2000,53.300000,46.600000,59.900000,285.000000
1doseVaricellaVaccinationRaceEthnicity,Asian only  non-Hispanic,New Jersey,2017,96.800000,80.200000,99.500000,44.000000
1doseVaricellaVaccinationFacilityType,Public,PA-Philadelphia,2004,97.600000,85.500000,99.600000,33.000000
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,Pennsylvania,2006,81.500000,61.000000,92.600000,51.000000
1doseVaricellaVaccinationAge,19 Months,IN-Marion County,2003,75.500000,69.400000,80.700000,289.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,NY-City of New York,2001,85.300000,71.900000,93.000000,72.000000
1doseVaricellaVaccinationAge,19-35 Months,Wisconsin,2007,86.700000,80.300000,91.200000,253.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,Mississippi,2003,85.000000,64.400000,94.700000,33.000000
1doseVaricellaVaccinationPoverty,Unknown poverty,Tennessee,1997,29.200000,20.400000,39.900000,140.000000
1doseVaricellaVaccinationAge,13 Months,Region  6,2000,37.400000,34.500000,40.500000,3088.000000
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,Colorado,2009,83.500000,69.000000,92.000000,72.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Hawaii,2000,80.400000,73.800000,85.700000,192.000000
1doseVaricellaVaccinationRaceEthnicity,Asian only  non-Hispanic,Region  2,2014,89.800000,74.800000,96.300000,79.000000
1doseVaricellaVaccinationFacilityType,Private,North Dakota,2013,90.400000,71.600000,97.300000,56.000000
1doseVaricellaVaccinationFacilityType,Other,Kentucky,2009,83.400000,65.200000,93.100000,35.000000
1doseVaricellaVaccinationFacilityType,Mixed,Region  3,2009,98.100000,96.200000,99.100000,179.000000
1doseVaricellaVaccinationFacilityType,Mixed,CA-San Bernardino County,2007,93.100000,64.800000,99.000000,31.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,Utah,2006,87.800000,80.700000,92.600000,180.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,NY-Rest of State,2014,90.700000,83.300000,95.000000,159.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,Wyoming,1998,24.000000,14.500000,36.900000,58.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,Wisconsin,2004,86.100000,74.500000,92.900000,73.000000
1doseVaricellaVaccinationAge,19-35 Months,IL-City of Chicago,2004,86.800000,80.500000,91.300000,275.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,New Mexico,2008,93.600000,84.400000,97.500000,76.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,PA-Philadelphia,2001,87.400000,79.400000,92.600000,117.000000
1doseVaricellaVaccinationFacilityType,Mixed,TX-El Paso County,2004,100.000000,nan,nan,37.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Illinois,2001,60.500000,54.800000,65.900000,434.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Texas,2001,86.200000,82.500000,89.300000,942.000000
1doseVaricellaVaccinationAge,19-35 Months,AZ-Maricopa County,2004,85.300000,80.000000,89.300000,325.000000
1doseVaricellaVaccinationRaceEthnicity,Asian only  non-Hispanic,Region  6,1998,35.800000,18.800000,57.300000,41.000000
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,Region 10,2000,38.200000,22.000000,57.500000,41.000000
1doseVaricellaVaccinationFacilityType,Other,TX-Rest of State,2010,73.100000,56.100000,85.300000,36.000000
1doseVaricellaVaccinationAge,19-35 Months,GA-Rest of State,1999,61.100000,53.800000,67.900000,288.000000
1doseVaricellaVaccinationAge,24 Months,Louisiana,2010,89.200000,83.400000,93.100000,226.000000
1doseVaricellaVaccinationWIC,Not Participating ,TX-El Paso County,2012,86.200000,71.200000,94.000000,90.000000
1doseVaricellaVaccinationAge,24 Months,Virginia,1999,61.100000,54.200000,67.600000,275.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,NJ-Rest of State,2007,90.800000,73.700000,97.200000,42.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,PA-Rest of State,2003,80.000000,63.300000,90.200000,46.000000
1doseVaricellaVaccinationAge,19-35 Months,TX-Bexar County,2008,95.400000,91.300000,97.600000,288.000000
1doseVaricellaVaccinationWIC,Participating,NY-Rest of State,2013,89.000000,77.600000,95.000000,91.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,New Jersey,2004,88.300000,81.600000,92.700000,354.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,District of Columbia,2004,92.300000,87.900000,95.200000,326.000000
1doseVaricellaVaccinationFacilityType,Other,TX-El Paso County,2000,77.900000,65.900000,86.600000,59.000000
