dose,category,location,year,coverage,low,high,size
otavirus Vaccination - Age,24 Months,Colorado,2014,72.800000,65.900000,78.800000,320.000000
otavirus Vaccination - Facility Type,Living Below Poverty,TX-City of Houston,2009,36.900000,25.400000,50.100000,90.000000
otavirus Vaccination - Facility Type,Multiple Races  non-Hispanic,New Jersey,2009,42.000000,34.000000,50.300000,208.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Region  3,2017,85.500000,73.700000,92.500000,255.000000
otavirus Vaccination - Age,24 Months,Montana,2011,59.800000,50.800000,68.200000,328.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Michigan,2013,73.900000,65.600000,80.800000,179.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Nevada,2010,51.200000,43.200000,59.100000,189.000000
otavirus Vaccination - Facility Type,Mixed,West Virginia,2016,63.100000,45.400000,77.800000,45.000000
otavirus Vaccination - Poverty,Living Below Poverty,New Mexico,2013,62.400000,50.200000,73.300000,89.000000
otavirus Vaccination - Poverty,Multiple Races  non-Hispanic,Kansas,2012,55.100000,46.600000,63.400000,202.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Kentucky,2010,69.600000,56.900000,79.900000,69.000000
otavirus Vaccination - Age,19 Months,Region 10,2012,67.400000,63.000000,71.500000,1139.000000
otavirus Vaccination - Facility Type,Private,Oregon,2009,39.000000,31.400000,47.100000,205.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,North Carolina,2015,75.100000,52.500000,89.200000,32.000000
otavirus Vaccination - VFC Program Provider,Participating,IL-Rest of State,2010,61.600000,53.300000,69.300000,222.000000
otavirus Vaccination - WIC,Participating,California,2017,60.300000,46.500000,72.700000,112.000000
otavirus Vaccination - VFC Program Provider,Participating,Florida,2011,57.400000,49.800000,64.700000,280.000000
otavirus Vaccination - Facility Type,Living Below Poverty,Michigan,2013,59.600000,43.900000,73.700000,45.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,United States,2013,72.600000,67.100000,77.600000,1203.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Montana,2011,73.900000,58.100000,85.300000,81.000000
otavirus Vaccination - Age,19-35 Months,TX-Bexar County,2016,71.700000,63.000000,79.000000,213.000000
otavirus Vaccination - Age,Asian only  non-Hispanic,CA-Rest of State,2011,68.700000,60.200000,76.200000,208.000000
otavirus Vaccination - WIC,Not Participating ,Missouri,2011,69.700000,60.800000,77.400000,212.000000
otavirus Vaccination - Age,19-35 Months,Florida,2017,69.100000,61.200000,76.000000,314.000000
otavirus Vaccination - Facility Type,Mixed,South Dakota,2015,81.500000,62.300000,92.100000,32.000000
otavirus Vaccination - Facility Type,Living Below Poverty,NY-Rest of State,2010,54.300000,37.000000,70.600000,39.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Delaware,2015,83.500000,71.700000,91.100000,95.000000
otavirus Vaccination - Poverty,Multiple Races  non-Hispanic,Illinois,2017,78.300000,71.200000,84.000000,256.000000
otavirus Vaccination - Age,19-35 Months,Maine,2014,75.400000,68.200000,81.400000,239.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Region  9,2014,79.700000,61.100000,90.800000,103.000000
otavirus Vaccination - Facility Type,Other,New Hampshire,2013,72.600000,57.700000,83.700000,81.000000
otavirus Vaccination - Facility Type,Black only  non-Hispanic,Pennsylvania,2011,75.000000,62.400000,84.500000,103.000000
otavirus Vaccination - Facility Type,Other,Missouri,2017,71.200000,52.300000,84.800000,45.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Missouri,2017,75.000000,62.900000,84.200000,98.000000
otavirus Vaccination - Facility Type,Asian only  non-Hispanic,South Carolina,2010,63.100000,49.900000,74.700000,61.000000
otavirus Vaccination - Age,19-35 Months,Region  7,2015,75.700000,71.900000,79.100000,964.000000
otavirus Vaccination - Facility Type,Public,Oregon,2009,34.800000,28.100000,42.300000,252.000000
otavirus Vaccination - Poverty,Asian only  non-Hispanic,Vermont,2012,65.300000,58.100000,71.900000,228.000000
otavirus Vaccination - Facility Type,Other,Virginia,2013,78.600000,52.000000,92.600000,31.000000
otavirus Vaccination - Facility Type,Mixed,Ohio,2009,34.500000,17.900000,56.000000,39.000000
otavirus Vaccination - Age,7 Months,Region  5,2017,73.900000,71.100000,76.600000,1712.000000
otavirus Vaccination - WIC,Participating,Maryland,2011,62.400000,52.900000,71.000000,269.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Region  7,2014,68.100000,60.300000,75.100000,317.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Oregon,2009,31.200000,25.200000,37.800000,291.000000
otavirus Vaccination - VFC Program Provider,Participating,Georgia,2017,77.900000,69.000000,84.700000,200.000000
otavirus Vaccination - Poverty,Living At or Above Poverty,Illinois,2014,79.600000,72.800000,85.100000,398.000000
otavirus Vaccination - Age,19-35 Months,TX-El Paso County,2017,77.200000,69.500000,83.500000,198.000000
otavirus Vaccination - WIC,Not Participating ,Region  6,2012,71.800000,67.100000,76.200000,1187.000000
otavirus Vaccination - WIC,Not Participating ,Rhode Island,2015,87.200000,79.600000,92.300000,150.000000
otavirus Vaccination - Poverty,Unknown poverty,Region  6,2014,61.600000,38.800000,80.200000,71.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Region  8,2016,78.300000,70.300000,84.600000,289.000000
otavirus Vaccination - Facility Type,Other,Alaska,2015,70.500000,54.000000,83.000000,45.000000
otavirus Vaccination - Facility Type,Asian only  non-Hispanic,TX-City of Houston,2017,73.800000,59.200000,84.600000,67.000000
otavirus Vaccination - WIC,Not Participating ,California,2009,46.600000,37.800000,55.500000,189.000000
otavirus Vaccination - Poverty,Living Below Poverty,Region  8,2013,72.500000,64.500000,79.300000,242.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Region  3,2011,74.700000,70.500000,78.500000,1318.000000
otavirus Vaccination - Age,7 Months,Oklahoma,2012,56.400000,48.600000,63.900000,282.000000
otavirus Vaccination - WIC,Not Participating ,Mississippi,2015,70.800000,55.400000,82.500000,71.000000
otavirus Vaccination - Poverty,Asian only  non-Hispanic,Region  9,2012,81.600000,54.100000,94.400000,96.000000
otavirus Vaccination - Facility Type,Private,TX-Rest of State,2015,78.800000,72.100000,84.300000,401.000000
otavirus Vaccination - Race/Ethnicity,Hispanic,Region  5,2011,63.900000,55.500000,71.600000,279.000000
otavirus Vaccination - Age,19-35 Months,Rhode Island,2009,71.200000,63.400000,77.900000,307.000000
otavirus Vaccination - WIC,Participating,Vermont,2017,73.500000,63.300000,81.700000,107.000000
otavirus Vaccination - WIC,Participating,New Hampshire,2009,37.700000,24.700000,52.800000,56.000000
otavirus Vaccination - WIC,Not Participating ,Virginia,2017,90.000000,81.500000,94.800000,290.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Connecticut,2017,85.500000,79.000000,90.200000,242.000000
otavirus Vaccination - Facility Type,Other,Region  2,2011,69.900000,57.800000,79.800000,101.000000
otavirus Vaccination - Facility Type,Public,New Mexico,2015,72.000000,53.800000,85.100000,39.000000
otavirus Vaccination - VFC Program Provider,Participating,Louisiana,2011,66.800000,58.300000,74.200000,236.000000
otavirus Vaccination - Age,24 Months,Vermont,2013,73.400000,66.900000,79.000000,280.000000
otavirus Vaccination - Facility Type,Other,Mississippi,2016,67.300000,45.100000,83.700000,31.000000
otavirus Vaccination - Facility Type,Private,Nebraska,2016,84.400000,70.800000,92.300000,89.000000
otavirus Vaccination - Age,7 Months,Ohio,2011,64.300000,56.000000,71.800000,284.000000
otavirus Vaccination - VFC Program Provider,Participating,Texas,2014,70.100000,64.500000,75.100000,1122.000000
otavirus Vaccination - Facility Type,Mixed,California,2015,56.600000,37.800000,73.700000,51.000000
otavirus Vaccination - Age,19 Months,South Dakota,2012,59.500000,52.300000,66.200000,275.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Region  2,2010,56.500000,50.600000,62.200000,454.000000
otavirus Vaccination - WIC,Not Participating ,Region  5,2012,75.000000,71.400000,78.200000,1109.000000
otavirus Vaccination - Facility Type,Living Below Poverty,North Carolina,2012,67.500000,53.800000,78.700000,78.000000
otavirus Vaccination - Age,19-35 Months,NY-City of New York,2016,71.100000,64.500000,76.900000,268.000000
otavirus Vaccination - Facility Type,Private,Region  6,2012,72.000000,68.200000,75.500000,1696.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Louisiana,2016,68.100000,54.400000,79.200000,81.000000
otavirus Vaccination - Facility Type,Private,Region  9,2011,71.900000,65.700000,77.300000,789.000000
otavirus Vaccination - Age,19-35 Months,TX-Rest of State,2010,61.700000,55.200000,67.700000,330.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Illinois,2016,73.600000,66.900000,79.500000,253.000000
otavirus Vaccination - Facility Type,Mixed,Region  7,2011,65.200000,55.900000,73.400000,247.000000
otavirus Vaccination - Age,7 Months,Region 10,2012,67.400000,63.000000,71.500000,1139.000000
otavirus Vaccination - WIC,Not Participating ,TX-El Paso County,2010,70.900000,55.600000,82.600000,55.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Oklahoma,2014,77.600000,63.800000,87.200000,94.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Kansas,2017,77.300000,61.400000,88.000000,59.000000
otavirus Vaccination - Facility Type,Public,Region  1,2015,77.100000,65.000000,86.000000,169.000000
otavirus Vaccination - Facility Type,Mixed,Region  2,2014,81.400000,68.400000,89.900000,61.000000
otavirus Vaccination - Age,24 Months,West Virginia,2016,67.500000,60.100000,74.100000,235.000000
otavirus Vaccination - Age,7 Months,Kansas,2014,77.500000,69.600000,83.900000,234.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,North Carolina,2010,69.000000,56.700000,79.100000,102.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Delaware,2016,82.300000,74.500000,88.100000,201.000000
otavirus Vaccination - Race/Ethnicity,Multiple Races  non-Hispanic,Region  2,2015,83.600000,63.800000,93.700000,37.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,NY-Rest of State,2009,49.900000,33.400000,66.400000,48.000000
otavirus Vaccination - Race/Ethnicity,Multiple Races  non-Hispanic,Region  1,2016,83.600000,70.600000,91.500000,103.000000
otavirus Vaccination - Race/Ethnicity,Hispanic,Texas,2015,75.600000,71.100000,79.500000,1017.000000
otavirus Vaccination - Age,19 Months,Maine,2016,75.600000,69.700000,80.700000,260.000000
otavirus Vaccination - Poverty,Living At or Above Poverty,Vermont,2011,67.200000,59.500000,74.100000,238.000000
otavirus Vaccination - VFC Program Provider,Participating,Region  5,2010,59.200000,55.700000,62.600000,1482.000000
otavirus Vaccination - Age,24 Months,Oklahoma,2015,67.200000,58.400000,74.900000,220.000000
otavirus Vaccination - WIC,Not Participating ,PA-Rest of State,2011,84.000000,77.900000,88.700000,253.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,PA-Rest of State,2011,80.500000,74.400000,85.400000,318.000000
otavirus Vaccination - WIC,Not Participating ,IL-City of Chicago,2011,82.500000,75.000000,88.100000,272.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Alaska,2009,45.200000,30.200000,61.100000,41.000000
otavirus Vaccination - Facility Type,Mixed,TX-Dallas County,2012,74.700000,65.300000,82.300000,213.000000
otavirus Vaccination - Urbanicity,Participating,IL-City of Chicago,2011,68.300000,58.800000,76.400000,255.000000
otavirus Vaccination - Age,19-35 Months,Kentucky,2017,80.400000,73.500000,85.800000,229.000000
otavirus Vaccination - Facility Type,Other,South Dakota,2017,72.200000,60.200000,81.700000,99.000000
otavirus Vaccination - Facility Type,Mixed,Region  5,2011,70.000000,62.500000,76.600000,344.000000
otavirus Vaccination - Age,7 Months,Wyoming,2013,65.700000,57.300000,73.200000,196.000000
otavirus Vaccination - Facility Type,Mixed,Illinois,2017,73.200000,58.800000,84.000000,68.000000
otavirus Vaccination - WIC,Participating,Pennsylvania,2017,74.000000,62.600000,82.800000,207.000000
otavirus Vaccination - WIC,Not Participating ,Missouri,2016,78.400000,66.000000,87.100000,113.000000
otavirus Vaccination - Facility Type,Living Below Poverty,Pennsylvania,2015,71.900000,59.600000,81.700000,151.000000
otavirus Vaccination - Facility Type,Other,Region  4,2015,63.600000,54.600000,71.700000,240.000000
otavirus Vaccination - Age,19 Months,Nevada,2015,65.500000,57.600000,72.600000,214.000000
otavirus Vaccination - WIC,Participating,Nevada,2013,59.100000,50.400000,67.300000,159.000000
otavirus Vaccination - WIC,Participating,Minnesota,2013,73.200000,59.300000,83.700000,65.000000
otavirus Vaccination - Age,7 Months,South Dakota,2009,38.600000,31.900000,45.800000,230.000000
otavirus Vaccination - Age,19-35 Months,Tennessee,2014,75.400000,67.800000,81.700000,273.000000
otavirus Vaccination - Facility Type,Public,New York,2015,38.500000,22.800000,57.100000,38.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Minnesota,2012,68.700000,54.200000,80.200000,87.000000
otavirus Vaccination - Facility Type,Other,Hawaii,2011,60.100000,42.400000,75.500000,61.000000
otavirus Vaccination - Age,19 Months,Vermont,2016,80.700000,74.800000,85.400000,287.000000
otavirus Vaccination - WIC,Participating,South Dakota,2010,39.100000,28.600000,50.800000,101.000000
otavirus Vaccination - WIC,Participating,Virginia,2010,56.200000,44.100000,67.500000,84.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,New Jersey,2009,52.400000,34.400000,69.900000,39.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Delaware,2012,71.700000,61.400000,80.100000,153.000000
otavirus Vaccination - Age,7 Months,IL-City of Chicago,2015,78.300000,70.700000,84.400000,188.000000
otavirus Vaccination - Age,7 Months,Tennessee,2009,53.100000,46.300000,59.700000,339.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Michigan,2014,56.400000,36.100000,74.800000,44.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Vermont,2012,64.000000,57.000000,70.400000,250.000000
otavirus Vaccination - Poverty,Multiple Races  non-Hispanic,Arizona,2016,69.000000,54.800000,80.300000,99.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Region  4,2011,65.100000,60.400000,69.600000,899.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Tennessee,2011,83.900000,72.200000,91.300000,95.000000
otavirus Vaccination - Age,19-35 Months,Missouri,2014,74.400000,66.400000,81.100000,272.000000
otavirus Vaccination - Age,19 Months,Region  2,2014,67.300000,62.700000,71.500000,728.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Oklahoma,2013,58.400000,51.300000,65.200000,251.000000
otavirus Vaccination - Poverty,Living Below Poverty,Illinois,2010,48.100000,37.400000,59.000000,151.000000
otavirus Vaccination - Poverty,Living Below Poverty,Region  5,2013,61.900000,56.100000,67.400000,425.000000
otavirus Vaccination - Race/Ethnicity,Multiple Races  non-Hispanic,Region  8,2012,74.800000,57.600000,86.700000,74.000000
otavirus Vaccination - Poverty,Living At or Above Poverty,Montana,2013,75.300000,66.900000,82.200000,171.000000
otavirus Vaccination - Age,24 Months,Alaska,2011,55.600000,48.000000,62.900000,278.000000
otavirus Vaccination - Age,19-35 Months,Vermont,2017,75.800000,69.000000,81.400000,251.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Region  6,2016,69.000000,63.600000,73.800000,741.000000
otavirus Vaccination - Facility Type,Public,Kentucky,2013,64.600000,44.100000,80.800000,32.000000
otavirus Vaccination - Age,7 Months,South Carolina,2017,67.200000,58.500000,74.900000,238.000000
otavirus Vaccination - Facility Type,Private,Region  2,2010,46.000000,41.200000,51.000000,594.000000
otavirus Vaccination - Poverty,Living Below Poverty,United States,2017,64.400000,61.100000,67.600000,3337.000000
otavirus Vaccination - Facility Type,Multiple Races  non-Hispanic,Maryland,2015,79.100000,50.100000,93.500000,40.000000
otavirus Vaccination - Facility Type,Asian only  non-Hispanic,PA-Philadelphia,2015,63.100000,50.800000,73.800000,83.000000
otavirus Vaccination - Age,7 Months,North Carolina,2009,41.100000,34.000000,48.600000,262.000000
otavirus Vaccination - WIC,Participating,TX-Bexar County,2011,67.500000,58.500000,75.400000,171.000000
otavirus Vaccination - Poverty,Living At or Above Poverty,District of Columbia,2017,81.100000,72.000000,87.800000,208.000000
otavirus Vaccination - VFC Program Provider,Participating,Illinois,2013,72.000000,65.800000,77.400000,359.000000
otavirus Vaccination - Facility Type,Multiple Races  non-Hispanic,PA-Rest of State,2014,78.400000,70.800000,84.400000,263.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,New York,2015,73.000000,64.400000,80.200000,193.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Alabama,2011,68.300000,54.700000,79.400000,108.000000
otavirus Vaccination - Facility Type,Mixed,TX-Bexar County,2011,42.100000,23.500000,63.400000,33.000000
otavirus Vaccination - Age,7 Months,Nevada,2015,65.500000,57.600000,72.600000,214.000000
otavirus Vaccination - Facility Type,Private,Missouri,2009,51.700000,42.200000,61.100000,189.000000
otavirus Vaccination - VFC Program Provider,Participating,Texas,2017,78.800000,75.200000,82.100000,1183.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Arkansas,2015,69.900000,55.600000,81.200000,79.000000
otavirus Vaccination - Facility Type,Multiple Races  non-Hispanic,Delaware,2009,55.000000,45.200000,64.500000,144.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Region  5,2012,68.600000,60.500000,75.700000,261.000000
otavirus Vaccination - Poverty,Living Below Poverty,District of Columbia,2017,68.300000,52.500000,80.800000,56.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Ohio,2013,63.300000,50.100000,74.800000,95.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Alabama,2009,56.500000,44.400000,67.800000,84.000000
otavirus Vaccination - WIC,Not Participating ,West Virginia,2009,48.800000,37.900000,59.800000,100.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Georgia,2013,67.000000,46.200000,82.800000,55.000000
otavirus Vaccination - Age,19-35 Months,Connecticut,2013,81.100000,74.000000,86.600000,213.000000
otavirus Vaccination - Facility Type,Public,IL-City of Chicago,2015,83.400000,74.800000,89.500000,110.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Louisiana,2009,52.300000,40.800000,63.600000,111.000000
otavirus Vaccination - Age,7 Months,Region  8,2017,75.700000,71.900000,79.200000,1462.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Wyoming,2010,54.500000,45.400000,63.300000,168.000000
otavirus Vaccination - WIC,Not Participating ,South Dakota,2015,81.900000,72.200000,88.700000,111.000000
otavirus Vaccination - Poverty,Asian only  non-Hispanic,North Dakota,2014,82.700000,75.300000,88.200000,267.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Indiana,2017,79.500000,64.800000,89.100000,54.000000
otavirus Vaccination - Facility Type,Other,Alaska,2016,70.500000,54.000000,83.000000,46.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,NY-Rest of State,2016,87.000000,74.400000,93.900000,81.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Region 10,2013,73.400000,68.300000,78.000000,876.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Iowa,2017,91.300000,82.300000,95.900000,67.000000
otavirus Vaccination - Facility Type,Multiple Races  non-Hispanic,Oregon,2015,72.500000,62.500000,80.700000,118.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,New Mexico,2010,51.300000,41.200000,61.200000,137.000000
otavirus Vaccination - Facility Type,Private,Oklahoma,2015,78.900000,66.900000,87.400000,99.000000
otavirus Vaccination - WIC,Participating,Mississippi,2012,65.200000,56.100000,73.400000,228.000000
otavirus Vaccination - Age,19-35 Months,Delaware,2016,80.900000,73.600000,86.500000,222.000000
otavirus Vaccination - Age,19-35 Months,Region  4,2015,69.800000,66.800000,72.700000,2035.000000
otavirus Vaccination - Facility Type,Living Below Poverty,Virginia,2014,55.500000,33.700000,75.300000,32.000000
otavirus Vaccination - Facility Type,Public,Vermont,2014,86.600000,72.400000,94.000000,43.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Alaska,2016,58.100000,41.700000,72.900000,45.000000
otavirus Vaccination - Age,19-35 Months,Maryland,2013,83.700000,76.000000,89.200000,287.000000
otavirus Vaccination - WIC,Participating,District of Columbia,2013,76.600000,65.100000,85.200000,104.000000
otavirus Vaccination - Age,19 Months,Wisconsin,2014,78.500000,70.800000,84.600000,240.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Idaho,2015,73.700000,60.000000,84.000000,68.000000
otavirus Vaccination - Facility Type,Multiple Races  non-Hispanic,IL-City of Chicago,2011,86.100000,77.300000,91.900000,200.000000
otavirus Vaccination - Facility Type,Public,PA-Rest of State,2011,80.000000,73.800000,85.000000,306.000000
otavirus Vaccination - Facility Type,Living Below Poverty,Minnesota,2009,42.700000,28.300000,58.500000,44.000000
otavirus Vaccination - Age,19-35 Months,NY-Rest of State,2017,80.700000,74.600000,85.600000,279.000000
otavirus Vaccination - Facility Type,Mixed,Oregon,2015,74.300000,53.000000,88.100000,32.000000
otavirus Vaccination - Facility Type,Other,Texas,2012,60.100000,48.300000,70.900000,187.000000
otavirus Vaccination - WIC,Not Participating ,IL-Rest of State,2017,83.800000,76.900000,88.900000,213.000000
otavirus Vaccination - Poverty,Living At or Above Poverty,Region  6,2010,64.200000,60.000000,68.200000,1649.000000
otavirus Vaccination - Facility Type,Other,District of Columbia,2013,73.000000,56.100000,85.200000,53.000000
otavirus Vaccination - Facility Type,Mixed,Alabama,2015,74.300000,52.800000,88.200000,45.000000
otavirus Vaccination - Facility Type,Other,Mississippi,2009,51.800000,33.300000,69.900000,36.000000
otavirus Vaccination - Poverty,Multiple Races  non-Hispanic,New Mexico,2013,73.700000,62.100000,82.700000,92.000000
otavirus Vaccination - Facility Type,Mixed,North Carolina,2016,67.800000,45.100000,84.400000,40.000000
otavirus Vaccination - Age,7 Months,Utah,2013,78.300000,71.900000,83.600000,249.000000
otavirus Vaccination - WIC,Not Participating ,Kansas,2014,83.300000,73.800000,89.800000,130.000000
otavirus Vaccination - Poverty,Living At or Above Poverty,Region  2,2011,65.200000,60.800000,69.400000,721.000000
otavirus Vaccination - Facility Type,Native Hawaiian or other Pacific Islander only  non-Hispanic,Maryland,2017,77.800000,63.500000,87.700000,182.000000
otavirus Vaccination - Age,24 Months,Florida,2015,63.800000,56.100000,70.900000,273.000000
otavirus Vaccination - Poverty,Living Below Poverty,Maine,2009,34.500000,20.100000,52.500000,38.000000
otavirus Vaccination - WIC,Not Participating ,North Carolina,2012,75.100000,65.300000,82.900000,150.000000
otavirus Vaccination - Facility Type,Asian only  non-Hispanic,Minnesota,2015,83.300000,76.200000,88.600000,210.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,NY-City of New York,2009,38.900000,31.500000,46.800000,218.000000
otavirus Vaccination - Facility Type,Mixed,Illinois,2015,75.700000,64.300000,84.300000,100.000000
otavirus Vaccination - Facility Type,Private,Colorado,2016,72.900000,60.200000,82.700000,143.000000
otavirus Vaccination - Age,7 Months,Iowa,2015,75.100000,68.700000,80.600000,279.000000
otavirus Vaccination - Race/Ethnicity,Multiple Races  non-Hispanic,Region  5,2013,73.400000,61.500000,82.700000,91.000000
otavirus Vaccination - Facility Type,Public,Louisiana,2015,71.800000,61.600000,80.100000,135.000000
otavirus Vaccination - Facility Type,Public,Ohio,2017,77.500000,69.300000,84.000000,193.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Region  9,2011,72.300000,66.200000,77.600000,630.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Illinois,2011,62.200000,53.700000,70.100000,251.000000
otavirus Vaccination - Age,7 Months,Tennessee,2011,71.100000,64.000000,77.200000,297.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Illinois,2011,67.900000,59.900000,74.900000,471.000000
otavirus Vaccination - Age,24 Months,Colorado,2016,70.400000,61.000000,78.300000,238.000000
otavirus Vaccination - Age,19-35 Months,Texas,2011,72.300000,68.400000,76.000000,1683.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Rhode Island,2013,85.400000,76.400000,91.400000,137.000000
otavirus Vaccination - Facility Type,Other,Utah,2014,84.400000,77.000000,89.700000,180.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Missouri,2014,73.000000,49.200000,88.300000,49.000000
otavirus Vaccination - Race/Ethnicity,Asian only  non-Hispanic,TX-Rest of State,2016,65.200000,38.400000,85.000000,40.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Arkansas,2009,27.600000,18.600000,38.900000,96.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Maine,2012,61.300000,50.400000,71.200000,114.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,TX-Rest of State,2013,64.900000,44.600000,81.000000,69.000000
otavirus Vaccination - Facility Type,Public,Idaho,2017,82.500000,74.500000,88.400000,153.000000
otavirus Vaccination - Poverty,Living Below Poverty,Montana,2017,60.700000,41.500000,77.100000,37.000000
otavirus Vaccination - Facility Type,Mixed,Arizona,2015,79.700000,59.200000,91.400000,39.000000
otavirus Vaccination - Age,19 Months,South Carolina,2014,75.000000,66.100000,82.100000,249.000000
otavirus Vaccination - Facility Type,Asian only  non-Hispanic,New Jersey,2016,75.000000,57.500000,86.900000,36.000000
otavirus Vaccination - WIC,Not Participating ,Massachusetts,2012,83.300000,75.800000,88.800000,188.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,TX-Rest of State,2015,77.800000,66.100000,86.400000,101.000000
otavirus Vaccination - Facility Type,Mixed,Wisconsin,2012,51.000000,32.400000,69.400000,44.000000
